test_year,delta_auc,delta_log_loss,delta_brier,baseline_auc,with_language_auc
2018,0.00012681021583094143,0.0007432503030927462,-1.2809289638399113e-05,0.9590960967815567,0.9592229069973877
2019,-0.00010288973160477166,-0.0016370793501546133,-0.0008824771473940896,0.962571235390708,0.9624683456591032
2020,0.00150675949049206,0.0017839025123433383,0.0005815296290684752,0.9635959466309509,0.965102706121443
2021,1.8506181064581462e-05,-0.0004540958941267048,-6.935465610106994e-05,0.9558396254348952,0.9558581316159598
2022,0.00012135160581649984,-0.00039390363369912196,0.00012685910576290538,0.9558865990166335,0.95600795062245
2023,0.0009073921384208372,-0.0007650457371752573,-0.0002691781181869135,0.9615497760523055,0.9624571681907264
