mean_sentiment,predicted_probability,ci_low,ci_high,group
-0.14495499999999997,0.36621464483649097,0.32363637978217313,0.4587701870566367,overall
-0.12579758192090393,0.36617686120451276,0.3235514428793733,0.45878916155846317,overall
-0.10664016384180788,0.3661390784316182,0.32345015179323305,0.4588074420421095,overall
-0.08748274576271184,0.36610129651792855,0.3233489678022174,0.4588259511889847,overall
-0.0683253276836158,0.3660635154635654,0.32328174304520585,0.4588435411887138,overall
-0.04916790960451975,0.3660257352686502,0.32325598724666793,0.4588613300553871,overall
-0.030010491525423705,0.3659879559333043,0.3232313946665155,0.4588797795153912,overall
-0.01085307344632766,0.36595017745764924,0.32320674248532344,0.45890049121837767,overall
0.008304344632768385,0.36591239984180646,0.3231824035971012,0.45890157931968345,overall
0.02746176271186443,0.3658746230858972,0.32315721617633464,0.4588657774830331,overall
0.046619180790960474,0.3658368471900428,0.32313266261184626,0.4588371097274413,overall
0.06577659887005652,0.36579907215436475,0.3231085310364308,0.4588082825715617,overall
0.08493401694915256,0.3657612979789842,0.3230840001399073,0.458779301771067,overall
0.10409143502824861,0.36572352466402264,0.3230040799302047,0.4587429394864691,overall
0.12324885310734465,0.36568575220960114,0.3229152162499366,0.4586935217410375,overall
0.1424062711864407,0.36564798061584114,0.3228255769555913,0.4586844836207378,overall
0.16156368926553674,0.36561020988286375,0.32273604228951885,0.4587500994540913,overall
0.1807211073446328,0.36557244001079015,0.32264660336341977,0.45881573911269447,overall
0.19987852542372883,0.3655346709997417,0.3225572818822151,0.458883429047576,overall
0.21903594350282488,0.36549690284983954,0.3224672213529071,0.4589796972623368,overall
0.23819336158192092,0.36545913556120463,0.3223780760957016,0.45910384029323253,overall
0.25735077966101694,0.36542136913395845,0.3222878129003073,0.45925735774347715,overall
0.27650819774011304,0.3653836035682218,0.32219845504290023,0.4593455855816345,overall
0.295665615819209,0.36534583886411603,0.3221083968317902,0.45940106852940543,overall
0.3148230338983051,0.36530807502176205,0.32201490406541944,0.45938496090670106,overall
0.3339804519774011,0.365270312041281,0.3219199218173721,0.4593693530207415,overall
0.3531378700564972,0.36523254992279397,0.3218347373422982,0.4593537047388462,overall
0.3722952881355932,0.36519478866642197,0.3219430309988969,0.45933901558039136,overall
0.3914527062146893,0.3651570282722859,0.32203403213721754,0.45932314158448906,overall
0.4106101242937854,0.3651192687405069,0.32212602978525595,0.459336187533046,overall
0.4297675423728814,0.3650815100712059,0.3222191582213378,0.45935729246602097,overall
0.4489249604519774,0.3650437522645038,0.3223137931292314,0.4593772074580734,overall
0.4680823785310735,0.36500599532052164,0.3224065986202814,0.459399484577311,overall
0.4872397966101696,0.3649682392393802,0.3224986263806234,0.45941950085496314,overall
0.5063972146892656,0.36493048402120054,0.3225450169355617,0.45935201869320735,overall
0.5255546327683616,0.3648927296661034,0.3225197037535449,0.459274632096819,overall
0.5447120508474577,0.3648549761742099,0.3224956918662469,0.45919723287157616,overall
0.5638694689265538,0.3648172235456406,0.3224719746333819,0.45912115271103887,overall
0.5830268870056498,0.3647794717805167,0.32244726515308364,0.4590405044645513,overall
0.6021843050847457,0.3647417208789585,0.3224233938803965,0.4589642634941095,overall
0.6213417231638418,0.36470397084108724,0.3223992382725049,0.45889462321734037,overall
0.6404991412429379,0.3646662216670236,0.32237400818855616,0.45885749508868173,overall
0.6596565593220339,0.36462847335688836,0.3223497784093882,0.4588879337012114,overall
0.6788139774011299,0.36459072591080216,0.32231333516715605,0.4589204308503074,overall
0.697971395480226,0.3645529793288859,0.32215348557930246,0.4589940773496929,overall
0.7171288135593221,0.36451523361126026,0.3219919023470994,0.4590800022356287,overall
0.7362862316384181,0.3644774887580458,0.3218308404949558,0.459186577242138,overall
0.7554436497175141,0.3644397447693635,0.3216625871777548,0.4592923730003203,overall
0.7746010677966102,0.3644020016453338,0.3214958823848462,0.45939710402257483,overall
0.7937584858757063,0.3643642593860775,0.32133543723526253,0.4595017667584607,overall
0.8129159039548023,0.36432651799171534,0.32117672969477234,0.4596067330831731,overall
0.8320733220338983,0.3642887774623676,0.32101693353972627,0.45971329619621615,overall
0.8512307401129944,0.3642510377981552,0.32084693515900414,0.4597552518737131,overall
0.8703881581920905,0.3642132989991987,0.32067301086620476,0.4597685159253437,overall
0.8895455762711864,0.3641755610656185,0.3204957153325353,0.45978115820170606,overall
0.9087029943502825,0.36413782399753547,0.32031402792536967,0.4597955868499427,overall
0.9278604124293786,0.3641000877950701,0.32013915232306883,0.45980729865690284,overall
0.9470178305084747,0.3640623524583428,0.31987075676181537,0.4598197158198973,overall
0.9661752485875708,0.36402461798747415,0.31957263564730753,0.4598318676056631,overall
0.9853326666666665,0.3639868843825847,0.3192727579346474,0.459846181499042,overall
