year,forum,parsed_reviews,score_count,confidence_count,review_text_count,has_decision
2018,SJ1Xmf-Rb,3,3,3,3,1
2018,Bk9zbyZCZ,3,3,3,3,1
2018,r1CE9GWR-,3,3,3,3,1
2018,SJme6-ZR-,3,3,3,3,1
2018,BkpXqwUTZ,3,3,3,3,1
2018,HkPCrEZ0Z,3,3,3,3,1
2018,BJJ9bz-0-,3,3,3,3,1
2018,H1wt9x-RW,3,3,3,3,1
2018,B1lMMx1CW,3,3,3,3,1
2018,SyhcXjy0Z,3,3,3,3,1
2018,Skx5txzb0W,3,3,3,3,1
2018,HJXyS7bRb,3,3,3,3,1
2018,Bys_NzbC-,3,3,3,3,1
2018,SkJKHMW0Z,3,3,3,3,1
2018,SJD8YjCpW,3,3,3,3,1
2018,ryserbZR-,3,3,3,3,1
2018,H1l8sz-AW,3,3,3,3,1
2018,SybqeKgA-,3,3,3,3,1
2018,HJnQJXbC-,3,3,3,3,1
2018,BJQPG5lR-,3,3,3,3,1
2018,r1vccClCb,3,3,3,3,1
2018,S1PWi_lC-,3,3,3,3,1
2018,BJDH5M-AW,3,3,3,3,1
2018,Hk6kPgZA-,3,3,3,3,1
2018,Sy8XvGb0-,3,3,3,3,1
2018,H11lAfbCW,3,3,3,3,1
2018,HJWLfGWRb,3,3,3,3,1
2018,SkxqZngC-,3,3,3,3,1
2018,Hkc-TeZ0W,3,3,3,3,1
2018,B1ae1lZRb,3,3,3,3,1
2018,SJa9iHgAZ,3,3,3,3,1
2018,HkpYwMZRb,3,3,3,3,1
2018,SkaPsfZ0W,3,3,3,3,1
2018,B1D6ty-A-,3,3,3,3,1
2018,Byht0GbRZ,3,3,3,3,1
2018,ry4SNTe0-,3,3,3,3,1
2018,BydLzGb0Z,3,3,3,3,1
2018,HylgYB3pZ,3,3,3,3,1
2018,rk3pnae0b,3,3,3,3,1
2018,SJahqJZAW,3,3,3,3,1
2018,ryjw_eAaZ,3,3,3,3,1
2018,HkXWCMbRW,3,3,3,3,1
2018,r1gs9JgRZ,3,3,3,3,1
2018,Hkp3uhxCW,3,3,3,3,1
2018,ryH20GbRW,3,3,3,3,1
2018,HJJ0w--0W,3,3,3,3,1
2018,SJ19eUg0-,3,3,3,3,1
2018,HktK4BeCZ,3,3,3,3,1
2018,SknC0bW0-,3,3,3,3,1
2018,B1i7ezW0-,3,3,3,3,1
2018,By9iRkWA-,3,3,3,3,1
2018,HkanP0lRW,3,3,3,3,1
2018,HJ4IhxZAb,3,3,3,3,1
2018,B1CNpYg0-,3,3,3,3,1
2018,SkERSm-0-,3,3,3,3,1
2018,rJTGkKxAZ,3,3,3,3,1
2018,S1xDcSR6W,4,4,4,4,1
2018,S1GDXzb0b,3,3,3,3,1
2018,rk6cfpRjZ,3,3,3,3,1
2018,Bk6qQGWRb,3,3,3,3,1
2018,B1QgVti6Z,3,3,3,3,1
2018,S1q_Cz-Cb,3,3,3,3,1
2018,H1q-TM-AW,3,3,3,3,1
2018,B1KFAGWAZ,3,3,3,3,1
2018,BkisuzWRW,3,3,3,3,1
2018,S1fcY-Z0-,3,3,3,3,1
2018,HkJ1rgbCb,3,3,3,3,1
2018,SyuWNMZ0W,3,3,3,3,1
2018,SJvrXqvaZ,3,3,3,3,1
2018,BJ7d0fW0b,3,3,3,3,1
2018,BJubPWZRW,3,3,3,3,1
2018,HJsk5-Z0W,3,3,3,3,1
2018,ByBAl2eAZ,3,3,3,3,1
2018,r1Kr3TyAb,3,3,3,3,1
2018,S1Euwz-Rb,3,3,3,3,1
2018,SkwAEQbAb,3,3,3,3,1
2018,S1fduCl0b,3,3,3,3,1
2018,rkMt1bWAZ,3,3,3,3,1
2018,rkc_hGb0Z,3,3,3,3,1
2018,r1Dx7fbCW,4,4,4,4,1
2018,ry80wMW0W,3,3,3,3,1
2018,rkcQFMZRb,3,3,3,3,1
2018,S1lN69AT-,3,3,3,3,1
2018,SyunbfbAb,3,3,3,3,1
2018,ry018WZAZ,3,3,3,3,1
2018,B1e5ef-C-,3,3,3,3,1
2018,B1mAkPxCZ,3,3,3,3,1
2018,ByQpn1ZA-,3,3,3,3,1
2018,B1CEaMbR-,3,3,3,3,1
2018,HyRnez-RW,3,3,3,3,1
2018,HkwVAXyCW,3,3,3,3,1
2018,ByUEelW0-,3,3,3,3,1
2018,BJuWrGW0Z,3,3,3,3,1
2018,ryDNZZZAW,4,4,4,4,1
2018,SJcKhk-Ab,3,3,3,3,1
2018,BkabRiQpb,3,3,3,3,1
2018,Byj54-bAW,3,3,3,3,1
2018,S1680_1Rb,3,3,3,3,1
2018,SkF2D7g0b,3,3,3,3,1
2018,BkVsWbbAW,3,3,3,3,1
2018,rkdU7tCaZ,3,3,3,3,1
2018,H1Ww66x0-,3,3,3,3,1
2018,SJtfOEn6-,3,3,3,3,1
2018,rJbs5gbRW,3,3,3,3,1
2018,HJRV1ZZAW,3,3,3,3,1
2018,H1BLjgZCb,3,3,3,3,1
2018,B1zlp1bRW,4,4,4,4,1
2018,rJa90ceAb,3,3,3,3,1
2018,HyunpgbR-,3,3,3,3,1
2018,BkVf1AeAZ,3,3,3,3,1
2018,r111KtCp-,3,3,3,3,1
2018,Skj8Kag0Z,3,3,3,3,1
2018,H1NV4agCb,3,3,3,3,1
2018,rkTBjG-AZ,3,3,3,3,1
2018,HkUR_y-RZ,3,3,3,3,1
2018,rJ7yZ2P6-,3,3,3,3,1
2018,SkHDoG-Cb,3,3,3,3,1
2018,BkXmYfbAZ,3,3,3,3,1
2018,H1kMMmb0-,3,3,3,3,1
2018,Sy21R9JAW,3,3,3,3,1
2018,rkYTTf-AZ,3,3,3,3,1
2018,HJ4YGZ-AW,3,3,3,3,1
2018,S17mtzbRb,3,3,3,3,1
2018,S1sqHMZCb,3,3,3,3,1
2018,SJ60SbW0b,3,3,3,3,1
2018,SkNQeiRpb,3,3,3,3,1
2018,B1ydPgTpW,3,3,3,3,1
2018,S1vuO-bCW,4,4,4,4,1
2018,rkgOLb-0W,3,3,3,3,1
2018,HkwrqtlR-,3,3,3,3,1
2018,SkYXvCR6W,3,3,3,3,1
2018,B16_iGWCW,3,3,3,3,1
2018,S1uxsye0Z,3,3,3,3,1
2018,SyELrEeAb,3,3,3,3,1
2018,SJJySbbAZ,3,3,3,3,1
2018,S1pWFzbAW,3,3,3,3,1
2018,rJJzTyWCZ,3,3,3,3,1
2018,Hk__kGbCW,3,3,3,3,1
2018,BJypUGZ0Z,3,3,3,3,1
2018,SJzRZ-WCZ,3,3,3,3,1
2018,r1HhRfWRZ,3,3,3,3,1
2018,B1NGT8xCZ,3,3,3,3,1
2018,rJiaRbk0-,3,3,3,3,1
2018,SJw03ceRW,3,3,3,3,1
2018,rk9kKMZ0-,3,3,3,3,1
2018,Hk-FlMbAZ,3,3,3,3,1
2018,rJR2ylbRb,3,3,3,3,1
2018,SyfiiMZA-,3,3,3,3,1
2018,SJDYgPgCZ,3,3,3,3,1
2018,ryepFJbA-,3,3,3,3,1
2018,rk4Fz2e0b,3,3,3,3,1
2018,Hko85plCW,3,3,3,3,1
2018,BkDB51WR-,3,3,3,3,1
2018,rJGZq6g0-,3,3,3,3,1
2018,HkTEFfZRb,3,3,3,3,1
2018,rkQu4Wb0Z,3,3,3,3,1
2018,ByuP8yZRb,3,3,3,3,1
2018,HyDu7FgAW,0,0,0,0,0
2018,HkGcX--0-,3,3,3,3,1
2018,rybDdHe0Z,3,3,3,3,1
2018,S1HlA-ZAZ,3,3,3,3,1
2018,Bym0cU1CZ,3,3,3,3,1
2018,Hkn7CBaTW,3,3,3,3,1
2018,B1ZvaaeAZ,3,3,3,3,1
2018,Hk2MHt-3-,3,3,3,3,1
2018,HkCvZXbC-,3,3,3,3,1
2018,HJDV5YxCW,3,3,3,3,1
2018,B1p461b0W,3,3,3,3,1
