specification,n_analytic,n_treated,n_control,n_matched_pairs,caliper,att,ci_low,ci_high,overlap_lower,overlap_upper,balance_pass
Primary window 35th-65th percentile,1878,937,941,695,0.06949305157150094,0.004316546762589928,-0.037446043165467624,0.04320143884892067,0.11933248455495966,0.9422239237790792,True
Window sensitivity 40th-60th percentile,1200,598,602,429,0.06494464042983221,0.009324009324009324,-0.039627039627039624,0.05367132867132836,0.16852029853356368,0.9409428821998125,True
Window sensitivity 30th-70th percentile,2332,1164,1168,850,0.07086648929877314,0.010588235294117647,-0.027088235294117646,0.05176470588235294,0.0940877082787224,0.9308577761942075,True
Treatment sensitivity: top vs bottom sentiment tercile,1256,631,625,404,0.0991661818761648,-0.054455445544554455,-0.10891089108910891,0.0,0.0849410521031724,0.9306774062473554,True
