term,label,coef,std_err,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,model,n
Intercept,Intercept,-19.83446470656281,0.9029255714180949,5.972324134648552e-107,-21.604166307262524,-18.064763105863094,2.4322119976315743e-09,4.144095800942137e-10,1.4274899726203439e-08,paper_fe,5922
C(year)[T.2019],Year FE: 2019,-0.05616902491305339,4.577659221581334,0.9902100023081845,-9.028216232710127,8.91587818288402,0.9453793297261558,0.00011997631223491905,7449.321123685548,paper_fe,5922
C(year)[T.2020],Year FE: 2020,0.8440256760672971,577799865071042.9,0.9999999999999989,-1132466925811346.0,1132466925811347.5,2.3257107146948783,1.3887943864964021e-11,72004899337.38586,paper_fe,5922
C(year)[T.2021],Year FE: 2021,-0.34565510433594426,0.10908168234705484,0.0015308383599088727,-0.5594512731092103,-0.1318589355626782,0.7077565471807814,0.5715225876340106,0.8764646243483878,paper_fe,5922
C(year)[T.2022],Year FE: 2022,0.14355325155276574,0.21527996156173915,0.5048863220060448,-0.2783877197014102,0.5654942228069417,1.1543682810738303,0.7570032595303791,1.7603175568570626,paper_fe,5922
C(year)[T.2023],Year FE: 2023,0.34218311006906255,0.09792214397670637,0.00047505640840853763,0.15025923458577228,0.5341069855523528,1.4080180962014512,1.1621354693894304,1.7059241469261281,paper_fe,5922
C(topic_cluster)[T.2],Topic FE: cluster 2,-0.1169955214535311,0.275808681609507,0.6714266270519521,-0.6575706040316396,0.4235795611245774,0.8895891772209583,0.5181084974950101,1.5274192723239082,paper_fe,5922
C(topic_cluster)[T.3],Topic FE: cluster 3,-0.15552619291580916,0.163927361263423,0.34274743935459884,-0.47681791707280463,0.16576553124118631,0.8559646564251199,0.6207555479909884,1.1802963266622466,paper_fe,5922
C(topic_cluster)[T.4],Topic FE: cluster 4,-0.2462230113663115,0.16154558541137382,0.12746613185512085,-0.5628465406340434,0.07040051790142035,0.7817478668243891,0.5695854060383488,1.072937826014694,paper_fe,5922
C(topic_cluster)[T.5],Topic FE: cluster 5,-0.3950091495618695,0.2070366157909185,0.056401650823690655,-0.8007934599931263,0.010775160869387401,0.6736738753998666,0.44897258096702525,1.010833421984865,paper_fe,5922
C(topic_cluster)[T.6],Topic FE: cluster 6,-0.6750112756787788,0.4468649682304074,0.1309034847114598,-1.5508505193630127,0.2008279680054551,0.5091506795556694,0.21206752956179137,1.2224144593360073,paper_fe,5922
C(topic_cluster)[T.7],Topic FE: cluster 7,-0.11765440528204023,0.13188841402246415,0.37235253737523255,-0.37615094674417743,0.14084213618009694,0.8890032343534084,0.6864987004772796,1.1512428940380464,paper_fe,5922
C(topic_cluster)[T.8],Topic FE: cluster 8,0.3233922845913785,0.36455591428076395,0.3750328418616349,-0.39112417774999,1.037908746932747,1.381807306312823,0.6762961698880879,2.8233065878451775,paper_fe,5922
C(topic_cluster)[T.9],Topic FE: cluster 9,-0.3431640720211644,0.34076499275239325,0.3139154202587534,-1.0110511850079078,0.3247230409655789,0.7095217893356185,0.3638363191992618,1.3836473792664707,paper_fe,5922
C(topic_cluster)[T.10],Topic FE: cluster 10,-0.020093417761449194,0.47582585984774484,0.9663165339923594,-0.9526949659758325,0.912508130452934,0.9801071096178235,0.3857001727134603,2.4905613590094213,paper_fe,5922
C(topic_cluster)[T.11],Topic FE: cluster 11,-0.08454858726895045,0.11484442766315886,0.46160835845986214,-0.3096395293138573,0.1405423547759564,0.9189270061385552,0.7337113900092993,1.1508978245520565,paper_fe,5922
C(topic_cluster)[T.12],Topic FE: cluster 12,-0.20329345155407733,0.1390939790176234,0.14386328992151878,-0.4759126408949892,0.06932573778683451,0.816038738450083,0.621317757639937,1.071785273256447,paper_fe,5922
mean_sentiment,Paper-level mean review sentiment,-0.026179788512738947,0.10399100868630994,0.801233919819066,-0.22999842025389833,0.17763884322842044,0.974159931098295,0.7945348576656867,1.1943938798928528,paper_fe,5922
mean_politeness,Paper-level mean review politeness,-0.14618788116248585,0.09275215784946685,0.11499976508299731,-0.32797877003581494,0.03560300771084324,0.8639953594819366,0.720378313148749,1.0362443837925208,paper_fe,5922
mean_toxicity,Paper-level mean review toxicity,9.963432252907303,9.132664301746662,0.27528755400356264,-7.936260861410794,27.8631253672254,21235.556580040142,0.0003575408768917151,72004899337.38586,paper_fe,5922
mean_constructiveness,Paper-level mean review constructiveness,-0.11348032395994515,0.07636744103884682,0.13728498644345427,-0.263157757987571,0.03619711006768073,0.8927217614675156,0.7686206317020396,1.0368602019345832,paper_fe,5922
mean_score,Mean reviewer score,3.485439984925805,0.056181933530221655,0.0,3.375325418624747,3.5955545512268627,32.63678364412866,29.233795455026208,36.43589995942623,paper_fe,5922
score_std,Reviewer score disagreement,0.03809280536833656,0.054378970279231456,0.4836112398814376,-0.0684880178953311,0.14467362863200423,1.0388276371865173,0.9338046489815339,1.1556623336149858,paper_fe,5922
confidence_mean_imputed,Mean reviewer confidence,-0.02580042185232634,0.13914305767549426,0.8528967136644703,-0.2985158035950746,0.24691495989042195,0.9745295650070213,0.7419185567770067,1.2800702508351212,paper_fe,5922
confidence_missing,Confidence missingness indicator,0.8440256760653604,577799865071018.1,0.9999999999999989,-1132466925811297.5,1132466925811299.0,2.3257107146903744,1.3887943864964021e-11,72004899337.38586,paper_fe,5922
num_reviews,Number of reviews,-0.06744689950452332,0.18389816530414643,0.7137963902065345,-0.4278806803236437,0.29298688131459705,0.9347773564389598,0.6518891933659555,1.3404252056997576,paper_fe,5922
review_length_mean,Mean review length (tokens),-0.00015150818176687378,0.0004729983973769191,0.7487300339354024,-0.0010785680053708,0.0007755516418370524,0.9998485032950181,0.9989220134400387,1.0007758524597732,paper_fe,5922
title_length,Title length (tokens),-0.01732487391457941,0.009792486811358334,0.07686039777024876,-0.03651779538392522,0.0018680475547664006,0.982824338773867,0.9641409364855403,1.0018697934425644,paper_fe,5922
abstract_length,Abstract length (tokens),-0.0005326358416748154,0.0006364614788947828,0.40266535896114597,-0.0017800774178556894,0.0007148057345060586,0.9994675059836136,0.998221505980288,1.0007150612690072,paper_fe,5922
keyword_count,Number of keywords,0.04797646508415325,0.023880082070725426,0.044531004610544704,0.0011723642776707358,0.09478056589063577,1.04914596347195,1.0011730517653061,1.0994175789377048,paper_fe,5922
