feature,n_years,pooled_effect_fe,pooled_se_fe,pooled_effect_re,pooled_se_re,Q_statistic,Q_df,Q_pvalue,I2_percent,tau2,min_effect,max_effect,effect_range,stability_interpretation
mean_sentiment,5,0.0188625595165586,0.0559508091653843,0.0188625595165586,0.0559508091653843,0.6831867369451944,4,0.9533860387552644,0.0,0.0,-0.0579499501972962,0.0786739804669267,0.1366239306642229,stable (low heterogeneity)
mean_politeness,5,0.0893164821310651,0.0595864339915726,0.0893164821310651,0.0595864339915726,2.6780607880436604,4,0.6130591150489939,0.0,0.0,-0.0082412556775656,0.2675494379762335,0.2757906936537991,stable (low heterogeneity)
mean_toxicity,5,0.0314119036937478,0.0531887458125722,0.0323727605884963,0.0576305310209589,4.673439687380653,4,0.3224743754125028,14.409936415764449,0.0023994621556642,-0.1441928420292555,0.2005284095724547,0.3447212516017103,stable (low heterogeneity)
mean_constructiveness,5,-0.0263944444465149,0.0595606599667784,-0.0237199184455887,0.081874072462915,7.535315190879555,4,0.1101620868103192,46.91661995982012,0.015709662775349,-0.2728578499225754,0.1875513959344376,0.4604092458570131,partially stable (moderate heterogeneity)
