disagreement_level,n_papers,n_accepted,n_rejected,acceptance_rate,mean_score_std,mean_sentiment_accept_mean,mean_sentiment_reject_mean,mean_sentiment_diff,mean_politeness_accept_mean,mean_politeness_reject_mean,mean_politeness_diff,mean_toxicity_accept_mean,mean_toxicity_reject_mean,mean_toxicity_diff,mean_constructiveness_accept_mean,mean_constructiveness_reject_mean,mean_constructiveness_diff
low,2008,775,1233,0.3859561752988047,0.3740577690287501,0.6104656812609831,0.4873085190816209,0.1231571621793622,0.7336367501867365,0.7261075603985553,0.0075291897881811,0.054972547944789,0.0547253646724303,0.0002471832723586,0.3687116418630117,0.3742092772388419,-0.0054976353758302
medium,2006,816,1190,0.4067796610169492,1.1098737680215054,0.6206270317958583,0.4589400979174238,0.1616869338784344,0.7324922310294093,0.7265033410126828,0.0059888900167265,0.0536996033747828,0.0542215766032835,-0.0005219732285007,0.3599475092194624,0.3711529019778857,-0.0112053927584232
high,1908,568,1340,0.2976939203354298,1.9337519311127769,0.579507214409607,0.5027083933093097,0.0767988211002972,0.7323358636686553,0.7266087622806342,0.0057271013880211,0.0540386028873274,0.0539965909512073,4.201193612009962e-05,0.3682206129301738,0.3659695155065774,0.0022510974235963
