year,n_papers,n_accepted,n_rejected,acceptance_rate,mean_sentiment_mean,mean_sentiment_std,mean_sentiment_accept_mean,mean_sentiment_reject_mean,mean_sentiment_diff,mean_politeness_mean,mean_politeness_std,mean_politeness_accept_mean,mean_politeness_reject_mean,mean_politeness_diff,mean_toxicity_mean,mean_toxicity_std,mean_toxicity_accept_mean,mean_toxicity_reject_mean,mean_toxicity_diff,mean_constructiveness_mean,mean_constructiveness_std,mean_constructiveness_accept_mean,mean_constructiveness_reject_mean,mean_constructiveness_diff
2018,922,337,585,0.3655097613882863,0.5232944310388575,0.3043380521670842,0.6151308193310769,0.470390391971374,0.1447404273597029,0.7257048834322763,0.0360524874303381,0.7314950711598528,0.7223693393909204,0.0091257317689323,0.0533228692209371,0.0228940533791043,0.0543483357890906,0.0527321303603086,0.001616205428782,0.38208145552445,0.140026480784869,0.3884987776142634,0.3783846392094636,0.0101141384047998
2019,1000,391,609,0.391,0.5299142952145034,0.3147839727016748,0.625058607317128,0.4688282097758723,0.1562303975412556,0.7328082984256993,0.0353900064484451,0.7356213585577498,0.731002212199703,0.0046191463580468,0.0546380085617857,0.0207905632092361,0.054575941061702,0.0546778581390151,-0.0001019170773131,0.3844760602642266,0.1266585444406901,0.3744099044418258,0.3909388959400209,-0.016528991498195
2020,1000,313,687,0.313,0.5213052566193862,0.3145777543955592,0.6192488331915581,0.4766817639453108,0.1425670692462472,0.7322787819259815,0.0353522393289297,0.7371864049658102,0.7300428488670786,0.0071435560987316,0.0532884962272346,0.0191111803555292,0.0521267282626154,0.0538178024469229,-0.0016910741843074,0.3827723940952076,0.1288397694362981,0.3782963516198463,0.38481169728995,-0.0065153456701037
2021,1000,316,684,0.316,0.5882886942953611,0.2706241147388571,0.6547870718078714,0.5575672216433826,0.0972198501644888,0.732987520024817,0.0315267805932449,0.7385327230081131,0.7304257011027095,0.0081070219054035,0.0539195182096351,0.0167934597959239,0.053906141910781,0.0539256979032578,-1.955599247675799e-05,0.3682843546495014,0.1112340387595234,0.3669255480503019,0.3689121074058566,-0.0019865593555546
2022,1000,395,605,0.395,0.524147195019026,0.2787726117658856,0.586471223064637,0.4834563006751972,0.1030149223894397,0.7312531707518825,0.0340265041361986,0.7348529743547682,0.7289028857549571,0.005950088599811,0.0547107160550836,0.0184508149760537,0.054503329278871,0.0548461173387265,-0.0003427880598554,0.3709539177522819,0.1255069035609365,0.3680635197005508,0.3728410371414287,-0.0047775174408778
2023,1000,407,593,0.407,0.4831891197250837,0.2787009257028264,0.5518720504692687,0.4360492330254492,0.1158228174438194,0.7173065780581366,0.0365553382911591,0.7216818481733869,0.7143036523635213,0.0073781958098655,0.0557515856492248,0.0215978541826744,0.0554867898767265,0.0559333257494049,-0.0004465358726783,0.3233233123244836,0.1402092436674793,0.3232415623977116,0.3233794206216103,-0.0001378582238986
