feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
const,-1.8941776002102155,0.1771241714821022,-10.694066113961277,1.0850719717519192e-26,-2.2413345971066323,-1.5470206033137988,0.15044200766073884,0.10631651993442112,0.2128812877147815,922,2018,0.6316565263441072
mean_score,4.406880872770882,0.31885124121359665,13.821118763714448,1.9009234250690824e-43,3.7819439235663395,5.031817821975425,82.01325436263629,43.90129961223732,153.2112705218317,922,2018,0.6316565263441072
score_std,0.13617982580163043,0.11103732646949906,1.2264328593955998,0.22003582687020018,-0.08144933501820376,0.35380898662146465,1.1458879352850417,0.9217794106078894,1.424483065168366,922,2018,0.6316565263441072
mean_confidence,-0.09978865876940561,0.12548762535182567,-0.7952071647672934,0.4264930047430048,-0.34573988496443936,0.1461625674256281,0.9050286676981327,0.7076965456794083,1.1573843257481504,922,2018,0.6316565263441072
num_reviews,-0.09936908011609186,0.10972841584287855,-0.9055911301807149,0.3651523052724295,-0.3144328232487681,0.11569466301658438,0.9054084780823286,0.7302029109567424,1.1226530323047725,922,2018,0.6316565263441072
mean_sentiment,0.007818478488793874,0.13603787128454736,0.05747280823323189,0.9541685661816488,-0.2588108497624146,0.2744478067400023,1.0078491226031219,0.7719690273598263,1.3158038961819927,922,2018,0.6316565263441072
mean_politeness,0.10882030729828834,0.14053639784569136,0.7743211649538135,0.4387408905751211,-0.16662597099625914,0.38426658559283583,1.1149619818087884,0.8465161737328508,1.4685368802785563,922,2018,0.6316565263441072
mean_toxicity,0.2005284095724547,0.13807744715662965,1.4522893760121676,0.14642116026032015,-0.07009841393177191,0.47115523307668133,1.222048329617452,0.9323020638792812,1.6018436274900032,922,2018,0.6316565263441072
mean_constructiveness,0.18755139593443768,0.14311568094631827,1.3104880939272263,0.19003076936096974,-0.09295018434327137,0.4680529762121467,1.206292246344978,0.9112388931293922,1.5968819972057415,922,2018,0.6316565263441072
const,-1.517917241792406,0.15561647326695058,-9.754219523973607,1.7695654406348744e-22,-1.8229199247967693,-1.2129145587880428,0.21916788563252085,0.16155333796682997,0.2973294312401776,1000,2019,0.647166901770702
mean_score,4.411039247471594,0.3039734798386511,14.511263449077763,1.0280930471829024e-47,3.815262174732526,5.006816320210662,82.35500627849466,45.38865458155021,149.4282463681533,1000,2019,0.647166901770702
score_std,-0.06689832921287567,0.11446384976627413,-0.5844494078215665,0.5589179938240421,-0.29124335228657644,0.1574466938608251,0.9352902882027078,0.7473337905008628,1.1705183605039924,1000,2019,0.647166901770702
mean_confidence,-0.08212870073794497,0.11986292556994388,-0.6851885213666025,0.49322496625170853,-0.3170557179366401,0.15279831646075015,0.9211533979450082,0.7282901751693608,1.1650899757755402,1000,2019,0.647166901770702
num_reviews,-0.17452974687198877,0.11477917314811391,-1.520569821902892,0.12836782472324654,-0.39949279241757885,0.05043329867360133,0.8398518708915312,0.6706601236833275,1.051726709448821,1000,2019,0.647166901770702
mean_sentiment,0.028223138381468605,0.13493554898494656,0.20916014048023168,0.8343232274783632,-0.23624567786316686,0.2926919546261041,1.0286251845741503,0.7895866661371466,1.3400299368232036,1000,2019,0.647166901770702
mean_politeness,0.005956257017664642,0.1287608211832268,0.04625830250949457,0.9631043734858777,-0.24641031512126196,0.25832282915659127,1.0059740307873526,0.7816014562255639,1.2947567363877877,1000,2019,0.647166901770702
mean_toxicity,0.09732467368044025,0.12481122387510428,0.7797750126850035,0.4355233165879723,-0.14730082998112987,0.34195017734201033,1.1022181767653343,0.8630343117649485,1.407690160901479,1000,2019,0.647166901770702
mean_constructiveness,-0.11280653910816034,0.13656482491539249,-0.8260292441926288,0.4087875028115905,-0.38046867749734786,0.15485559928102716,0.8933234665543737,0.6835409738548397,1.1674893626291907,1000,2019,0.647166901770702
const,-2.4838840701055154,0.20047619133494143,-12.389920486645806,2.963370763392865e-35,-2.8768101848797616,-2.090957955331269,0.08341859189127895,0.05631410823666266,0.12356870580067877,1000,2021,0.6165341759558846
mean_score,4.478524160041868,0.32482995458750047,13.787288077323772,3.039737428864096e-43,3.8418691479505855,5.11517917213315,88.10454846489759,46.61251875900147,166.5306159561366,1000,2021,0.6165341759558846
score_std,0.0953779488709454,0.11480937765058405,0.8307505085623135,0.40611458657195154,-0.12964429641165715,0.3204001941535479,1.100074548499295,0.8784078281733653,1.377678993107842,1000,2021,0.6165341759558846
mean_confidence,0.10465203888663717,0.11545562371064964,0.906426517160498,0.36471014266072865,-0.12163682539884484,0.33094090317211916,1.1103241934880226,0.8854698902890605,1.3922775106925152,1000,2021,0.6165341759558846
num_reviews,0.14928116796530766,0.12048124150547469,1.2390407510743013,0.2153304069673717,-0.08685772619809506,0.3854200621287104,1.1609993791548974,0.9168075240467203,1.470231780437883,1000,2021,0.6165341759558846
mean_sentiment,0.03352776685481143,0.11855807944616972,0.28279613680849497,0.777333115886545,-0.19884179893591966,0.2658973326455425,1.0340961569254894,0.8196795572543326,1.304601111866285,1000,2021,0.6165341759558846
mean_politeness,0.2675494379762335,0.1373675782905638,1.9476898501501227,0.05145208531932765,-0.0016860681167578107,0.5367849440692247,1.3067582317215845,0.9983153524975596,1.71049866347347,1000,2021,0.6165341759558846
mean_toxicity,-0.14419284202925556,0.11602574701312998,-1.2427659010283127,0.21395411137797193,-0.3715991274543461,0.08321344339583495,0.8657207846080646,0.6896306411108816,1.0867737484737134,1000,2021,0.6165341759558846
mean_constructiveness,-0.27285784992257545,0.13137613366598277,-2.076920992486374,0.037808851886441994,-0.5303503403360218,-0.015365359509129095,0.761200984717553,0.5883987937334777,0.9847520853304653,1000,2021,0.6165341759558846
