feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,pseudo_r2
const,-0.607476186476549,0.02845573359290751,-21.348111954068905,4.0601317308328494e-101,-0.6632483994723143,-0.5517039734807837,0.5447239172758405,0.515175118872404,0.5759675403225905,5922,0.04781543454171111
mean_sentiment,0.5203673733193009,0.03418760837950269,15.220935244809029,2.568330505530548e-52,0.4533608921779159,0.5873738544606859,1.682645695299493,1.5735919810889083,1.7992570945555326,5922,0.04781543454171111
mean_politeness,0.24395763503543186,0.03220518144994009,7.5751051244546135,3.5883694571139737e-14,0.18083663927797183,0.3070786307928919,1.2762902593524856,1.1982194213142385,1.3594478583324885,5922,0.04781543454171111
mean_toxicity,0.02606526863504707,0.02790967285253181,0.9339152333590529,0.3503476202808925,-0.02863668497621055,0.08076722224630468,1.026407938532393,0.9717694587826883,1.0841185085215856,5922,0.04781543454171111
mean_constructiveness,-0.14291625873838723,0.03170976330804595,-4.507011211342723,6.574716089420648e-06,-0.205066252780447,-0.08076626469632747,0.8668266550139104,0.8145933455494981,0.922409265859817,5922,0.04781543454171111
num_reviews,-0.04768304092168949,0.028103398004694736,-1.6967001966710193,0.0897533554861022,-0.10276468885408599,0.007398607010707006,0.9534359393665893,0.9023392789913531,1.0074260443277918,5922,0.04781543454171111
mean_review_length,-0.22921061462443007,0.030217385810612857,-7.585388625641051,3.314919630684592e-14,-0.28843560252018297,-0.1699856267286772,0.7951610433232713,0.7494350653230625,0.8436769429068453,5922,0.04781543454171111
