disagreement_level,n_papers,n_accepted,n_rejected,acceptance_rate,mean_score_std,mean_sentiment_accept_mean,mean_sentiment_reject_mean,mean_sentiment_diff,mean_politeness_accept_mean,mean_politeness_reject_mean,mean_politeness_diff,mean_toxicity_accept_mean,mean_toxicity_reject_mean,mean_toxicity_diff,mean_constructiveness_accept_mean,mean_constructiveness_reject_mean,mean_constructiveness_diff
low,2008,775,1233,0.38595617529880477,0.37405776902875015,0.6104656812609831,0.4873085190816209,0.12315716217936223,0.7336367501867365,0.7261075603985553,0.007529189788181179,0.054972547944789014,0.054725364672430325,0.0002471832723586892,0.3687116418630117,0.3742092772388419,-0.005497635375830201
medium,2006,816,1190,0.4067796610169492,1.1098737680215054,0.6206270317958583,0.45894009791742385,0.16168693387843447,0.7324922310294093,0.7265033410126828,0.0059888900167265335,0.05369960337478284,0.05422157660328359,-0.0005219732285007481,0.35994750921946245,0.3711529019778857,-0.01120539275842325
high,1908,568,1340,0.2976939203354298,1.9337519311127767,0.579507214409607,0.5027083933093097,0.07679882110029723,0.7323358636686553,0.7266087622806342,0.0057271013880211274,0.05403860288732743,0.05399659095120733,4.2011936120099624e-05,0.3682206129301738,0.3659695155065774,0.00225109742359636
