test_year,delta_auc,delta_log_loss,delta_brier,baseline_auc,with_language_auc
2018,-0.00015470846331377963,-0.0005413829658637015,-0.00034647420549323293,0.9580283547642598,0.9578736463009461
2019,-0.0002792721286413169,-0.0006165032483876898,-0.0004081266180356452,0.9627854140156811,0.9625061418870398
2021,-0.0003099785328299909,-0.001199003807212884,-0.00033140681402796246,0.955358464727219,0.955048486194389
2022,0.00016738152526418748,2.6697069677728003e-06,0.0001821595097061951,0.9563761899780312,0.9565435715032954
2023,0.0007085116697257421,-0.0006910325158709096,-0.0002175050939113854,0.9623411545839876,0.9630496662537134
